"activity" "subjects" "variable" "value"
"SITTING" 11 "tBodyAcc-mean()-Y" -0.0191272531933228
"SITTING" 14 "tBodyAcc-mean()-Y" -0.0162548178510526
"SITTING" 15 "tBodyAcc-mean()-Y" -0.0132570659288889
"STANDING" 1 "tBodyAcc-mean()-Y" -0.0182981725176081
"STANDING" 2 "tBodyAcc-mean()-Y" -0.0191323183174834
"STANDING" 3 "tBodyAcc-mean()-Y" -0.017856067384956
"STANDING" 4 "tBodyAcc-mean()-Y" -0.0129853880308261
"STANDING" 5 "tBodyAcc-mean()-Y" -0.0154833455336192
"STANDING" 6 "tBodyAcc-mean()-Y" -0.0175697042641846
"STANDING" 7 "tBodyAcc-mean()-Y" -0.0148790771762712
"WALKING" 13 "tBodyAcc-mean()-Y" -0.0181699742090972
"WALKING" 18 "tBodyAcc-mean()-Y" -0.0166320241974519
"WALKING" 21 "tBodyAcc-mean()-Y" -0.0183267094685948
"WALKING" 22 "tBodyAcc-mean()-Y" -0.0168273604077383
"WALKING" 23 "tBodyAcc-mean()-Y" -0.019589258786828
"WALKING" 25 "tBodyAcc-mean()-Y" -0.019954393806696
"WALKING_DOWNSTAIRS" 18 "tBodyAcc-mean()-Y" -0.0181513286089596
"WALKING_DOWNSTAIRS" 20 "tBodyAcc-mean()-Y" -0.0171755888874242
"WALKING_DOWNSTAIRS" 25 "tBodyAcc-mean()-Y" -0.018533642697033
"WALKING_DOWNSTAIRS" 26 "tBodyAcc-mean()-Y" -0.0161687277463495
"WALKING_DOWNSTAIRS" 27 "tBodyAcc-mean()-Y" -0.0167969215592152
"WALKING_DOWNSTAIRS" 28 "tBodyAcc-mean()-Y" -0.0161150370805556
"WALKING_UPSTAIRS" 20 "tBodyAcc-mean()-Y" -0.0188107168143333
"WALKING_UPSTAIRS" 24 "tBodyAcc-mean()-Y" -0.0176822460103885
"WALKING_UPSTAIRS" 28 "tBodyAcc-mean()-Y" -0.0194902247165029
"WALKING_UPSTAIRS" 29 "tBodyAcc-mean()-Y" -0.018471953048314
"WALKING_UPSTAIRS" 30 "tBodyAcc-mean()-Y" -0.0175856077340209
"LAYING" 10 "tBodyAcc-mean()-Z" -0.110895968975281
"LAYING" 12 "tBodyAcc-mean()-Z" -0.106649116775
"LAYING" 13 "tBodyAcc-mean()-Z" -0.102743770538462
"LAYING" 15 "tBodyAcc-mean()-Z" -0.112307531763033
"LAYING" 16 "tBodyAcc-mean()-Z" -0.107263924445355
"LAYING" 17 "tBodyAcc-mean()-Z" -0.109199853130082
"LAYING" 19 "tBodyAcc-mean()-Z" -0.118277180099383
"LAYING" 21 "tBodyAcc-mean()-Z" -0.108936154186275
"SITTING" 4 "tBodyAcc-mean()-Z" -0.11315608545977
"SITTING" 7 "tBodyAcc-mean()-Z" -0.113423584203213
"SITTING" 8 "tBodyAcc-mean()-Z" -0.106809623683986
"SITTING" 9 "tBodyAcc-mean()-Z" -0.101233826213889
"SITTING" 10 "tBodyAcc-mean()-Z" -0.111923861939655
"SITTING" 11 "tBodyAcc-mean()-Z" -0.108941761642405
"SITTING" 14 "tBodyAcc-mean()-Z" -0.100985935692074
"SITTING" 15 "tBodyAcc-mean()-Z" -0.113025363495726
"STANDING" 1 "tBodyAcc-mean()-Z" -0.10784573454611
"STANDING" 2 "tBodyAcc-mean()-Z" -0.115649958175497
"STANDING" 3 "tBodyAcc-mean()-Z" -0.106492632429097
"STANDING" 4 "tBodyAcc-mean()-Z" -0.105390061443478
"STANDING" 5 "tBodyAcc-mean()-Z" -0.105661736816887
"STANDING" 6 "tBodyAcc-mean()-Z" -0.11599454136
"STANDING" 7 "tBodyAcc-mean()-Z" -0.108562358525424
"WALKING" 13 "tBodyAcc-mean()-Z" -0.110000803208681
"WALKING" 18 "tBodyAcc-mean()-Z" -0.109979302360577
"WALKING" 21 "tBodyAcc-mean()-Z" -0.108725922722549
"WALKING" 22 "tBodyAcc-mean()-Z" -0.108670376782866
"WALKING" 23 "tBodyAcc-mean()-Z" -0.109093982385242
"WALKING" 25 "tBodyAcc-mean()-Z" -0.111864226361233
"WALKING_DOWNSTAIRS" 18 "tBodyAcc-mean()-Z" -0.105622849346154
"WALKING_DOWNSTAIRS" 20 "tBodyAcc-mean()-Z" -0.10776643659697
"WALKING_DOWNSTAIRS" 25 "tBodyAcc-mean()-Z" -0.106841177401099
"WALKING_DOWNSTAIRS" 26 "tBodyAcc-mean()-Z" -0.107637894928571
"WALKING_DOWNSTAIRS" 27 "tBodyAcc-mean()-Z" -0.110848300413564
"WALKING_DOWNSTAIRS" 28 "tBodyAcc-mean()-Z" -0.107331701861111
"WALKING_UPSTAIRS" 20 "tBodyAcc-mean()-Z" -0.108799759557778
"WALKING_UPSTAIRS" 24 "tBodyAcc-mean()-Z" -0.107914503687664
"WALKING_UPSTAIRS" 28 "tBodyAcc-mean()-Z" -0.109958416932948
"WALKING_UPSTAIRS" 29 "tBodyAcc-mean()-Z" -0.108675612269477
"WALKING_UPSTAIRS" 30 "tBodyAcc-mean()-Z" -0.10589355727859
"LAYING" 10 "tBodyAcc-std()-X" -0.444542179505618
"LAYING" 12 "tBodyAcc-std()-X" -0.583962207065
"LAYING" 13 "tBodyAcc-std()-X" -0.985624894358974
"LAYING" 15 "tBodyAcc-std()-X" -0.406653495418483
"LAYING" 16 "tBodyAcc-std()-X" -0.668161498298634
"LAYING" 17 "tBodyAcc-std()-X" -0.608455243870734
"LAYING" 19 "tBodyAcc-std()-X" -0.574658922919194
"LAYING" 21 "tBodyAcc-std()-X" -0.986475897352941
"SITTING" 4 "tBodyAcc-std()-X" -0.281964430525287
"SITTING" 7 "tBodyAcc-std()-X" -0.485187847278715
"SITTING" 8 "tBodyAcc-std()-X" -0.582958863017438
"SITTING" 9 "tBodyAcc-std()-X" -0.555656544538194
"SITTING" 10 "tBodyAcc-std()-X" -0.680922061465517
"SITTING" 11 "tBodyAcc-std()-X" -0.58947649779557
"SITTING" 14 "tBodyAcc-std()-X" -0.611671118216099
"SITTING" 15 "tBodyAcc-std()-X" -0.826851429401709
"STANDING" 1 "tBodyAcc-std()-X" -0.545795331328326
"STANDING" 2 "tBodyAcc-std()-X" -0.605586497159271
"STANDING" 3 "tBodyAcc-std()-X" -0.623413602046921
"STANDING" 4 "tBodyAcc-std()-X" -0.727483531531739
"STANDING" 5 "tBodyAcc-std()-X" -0.507691011391722
"STANDING" 6 "tBodyAcc-std()-X" -0.505086085072062
"STANDING" 7 "tBodyAcc-std()-X" -0.967184238135593
"WALKING" 13 "tBodyAcc-std()-X" -0.575988776406597
"WALKING" 18 "tBodyAcc-std()-X" -0.727424520817308
"WALKING" 21 "tBodyAcc-std()-X" -0.567606524052288
"WALKING" 22 "tBodyAcc-std()-X" -0.546089975548692
"WALKING" 23 "tBodyAcc-std()-X" -0.622594039757258
"WALKING" 25 "tBodyAcc-std()-X" -0.743412249207048
"WALKING_DOWNSTAIRS" 18 "tBodyAcc-std()-X" -0.65087337051282
"WALKING_DOWNSTAIRS" 20 "tBodyAcc-std()-X" -0.730842608423485
"WALKING_DOWNSTAIRS" 25 "tBodyAcc-std()-X" -0.682404479598901
"WALKING_DOWNSTAIRS" 26 "tBodyAcc-std()-X" -0.623101031168367
"WALKING_DOWNSTAIRS" 27 "tBodyAcc-std()-X" -0.660976085218085
"WALKING_DOWNSTAIRS" 28 "tBodyAcc-std()-X" -0.977386348333333
"WALKING_UPSTAIRS" 20 "tBodyAcc-std()-X" -0.235258681911111
"WALKING_UPSTAIRS" 24 "tBodyAcc-std()-X" -0.675459176298425
"WALKING_UPSTAIRS" 28 "tBodyAcc-std()-X" -0.614877228149133
"WALKING_UPSTAIRS" 29 "tBodyAcc-std()-X" -0.574295395364826
"WALKING_UPSTAIRS" 30 "tBodyAcc-std()-X" -0.615890785389034
"LAYING" 10 "tBodyAcc-std()-Y" -0.4473986497
"LAYING" 12 "tBodyAcc-std()-Y" -0.522040023435
"LAYING" 13 "tBodyAcc-std()-Y" -0.942586546666667
"LAYING" 15 "tBodyAcc-std()-Y" -0.365582862734123
"LAYING" 16 "tBodyAcc-std()-Y" -0.649947067892896
"LAYING" 17 "tBodyAcc-std()-Y" -0.567005319464348
"LAYING" 19 "tBodyAcc-std()-Y" -0.507035084992639
"LAYING" 21 "tBodyAcc-std()-Y" -0.964934255392157
"SITTING" 4 "tBodyAcc-std()-Y" -0.17613742984931
"SITTING" 7 "tBodyAcc-std()-Y" -0.456689568218876
"SITTING" 8 "tBodyAcc-std()-Y" -0.349383732046263
"SITTING" 9 "tBodyAcc-std()-Y" -0.5758878952125
"SITTING" 10 "tBodyAcc-std()-Y" -0.574141127008621
"SITTING" 11 "tBodyAcc-std()-Y" -0.490379346996835
"SITTING" 14 "tBodyAcc-std()-Y" -0.374730765205077
"SITTING" 15 "tBodyAcc-std()-Y" -0.691050465065556
"STANDING" 1 "tBodyAcc-std()-Y" -0.367716218227378
"STANDING" 2 "tBodyAcc-std()-Y" -0.428962986589404
"STANDING" 3 "tBodyAcc-std()-Y" -0.480015920697654
"STANDING" 4 "tBodyAcc-std()-Y" -0.636189818846522
"STANDING" 5 "tBodyAcc-std()-Y" -0.402724906078146
"STANDING" 6 "tBodyAcc-std()-Y" -0.368403670137262
"STANDING" 7 "tBodyAcc-std()-Y" -0.925026000677966
"WALKING" 13 "tBodyAcc-std()-Y" -0.381951349576563
"WALKING" 18 "tBodyAcc-std()-Y" -0.660359480980769
"WALKING" 21 "tBodyAcc-std()-Y" -0.43246883531768
"WALKING" 22 "tBodyAcc-std()-Y" -0.491188426241526
"WALKING" 23 "tBodyAcc-std()-Y" -0.532078546615699
"WALKING" 25 "tBodyAcc-std()-Y" -0.571928696467841
"WALKING_DOWNSTAIRS" 18 "tBodyAcc-std()-Y" -0.582794875788462
"WALKING_DOWNSTAIRS" 20 "tBodyAcc-std()-Y" -0.576214528026894
"WALKING_DOWNSTAIRS" 25 "tBodyAcc-std()-Y" -0.480897744303846
"WALKING_DOWNSTAIRS" 26 "tBodyAcc-std()-Y" -0.585967142418112
"WALKING_DOWNSTAIRS" 27 "tBodyAcc-std()-Y" -0.630460488658511
"WALKING_DOWNSTAIRS" 28 "tBodyAcc-std()-Y" -0.883388240277778
"WALKING_UPSTAIRS" 20 "tBodyAcc-std()-Y" 0.237504903277778
"WALKING_UPSTAIRS" 24 "tBodyAcc-std()-Y" -0.582490655185302
"WALKING_UPSTAIRS" 28 "tBodyAcc-std()-Y" -0.541424993053757
"WALKING_UPSTAIRS" 29 "tBodyAcc-std()-Y" -0.598400275636657
"WALKING_UPSTAIRS" 30 "tBodyAcc-std()-Y" -0.519047387875457
"LAYING" 10 "tBodyAcc-std()-Z" -0.523383240782584
"LAYING" 12 "tBodyAcc-std()-Z" -0.699293531365625
"LAYING" 13 "tBodyAcc-std()-Z" -0.930449546410256
"LAYING" 15 "tBodyAcc-std()-Z" -0.649987966488152
"LAYING" 16 "tBodyAcc-std()-Z" -0.603819902386066
"LAYING" 17 "tBodyAcc-std()-Z" -0.660582755619022
"LAYING" 19 "tBodyAcc-std()-Z" -0.649184726556944
"LAYING" 21 "tBodyAcc-std()-Z" -0.958879979411765
"SITTING" 4 "tBodyAcc-std()-Z" -0.549282546551724
"SITTING" 7 "tBodyAcc-std()-Z" -0.352185504281727
"SITTING" 8 "tBodyAcc-std()-Z" -0.499472687913167
"SITTING" 9 "tBodyAcc-std()-Z" -0.506111776081806
"SITTING" 10 "tBodyAcc-std()-Z" -0.75501902668319
"SITTING" 11 "tBodyAcc-std()-Z" -0.665324314227848
"SITTING" 14 "tBodyAcc-std()-Z" -0.29354271467452
"SITTING" 15 "tBodyAcc-std()-Z" -0.806190698290598
"STANDING" 1 "tBodyAcc-std()-Z" -0.502645746562824
"STANDING" 2 "tBodyAcc-std()-Z" -0.589360062210596
"STANDING" 3 "tBodyAcc-std()-Z" -0.653625579293255
"STANDING" 4 "tBodyAcc-std()-Z" -0.770093981521739
"STANDING" 5 "tBodyAcc-std()-Z" -0.646443640175497
"STANDING" 6 "tBodyAcc-std()-Z" -0.672512004586708
"STANDING" 7 "tBodyAcc-std()-Z" -0.896604936423729
"WALKING" 13 "tBodyAcc-std()-Z" -0.540752991340972
"WALKING" 18 "tBodyAcc-std()-Z" -0.763189317548077
"WALKING" 21 "tBodyAcc-std()-Z" -0.573202424431373
"WALKING" 22 "tBodyAcc-std()-Z" -0.65508967878972
"WALKING" 23 "tBodyAcc-std()-Z" -0.450557203409946
"WALKING" 25 "tBodyAcc-std()-Z" -0.679759831246696
"WALKING_DOWNSTAIRS" 18 "tBodyAcc-std()-Z" -0.619471669038462
"WALKING_DOWNSTAIRS" 20 "tBodyAcc-std()-Z" -0.708502719996212
"WALKING_DOWNSTAIRS" 25 "tBodyAcc-std()-Z" -0.60635496032967
"WALKING_DOWNSTAIRS" 26 "tBodyAcc-std()-Z" -0.70498062744898
"WALKING_DOWNSTAIRS" 27 "tBodyAcc-std()-Z" -0.68321532587766
"WALKING_DOWNSTAIRS" 28 "tBodyAcc-std()-Z" -0.9141435025
"WALKING_UPSTAIRS" 20 "tBodyAcc-std()-Z" -0.418555584433333
"WALKING_UPSTAIRS" 24 "tBodyAcc-std()-Z" -0.636497458900262
"WALKING_UPSTAIRS" 28 "tBodyAcc-std()-Z" -0.662065359682081
"WALKING_UPSTAIRS" 29 "tBodyAcc-std()-Z" -0.606461283926453
"WALKING_UPSTAIRS" 30 "tBodyAcc-std()-Z" -0.522643273772115
"LAYING" 10 "tGravityAcc-mean()-X" 0.717480574157303
"LAYING" 12 "tGravityAcc-mean()-X" 0.69922245131875
"LAYING" 13 "tGravityAcc-mean()-X" 0.921964862307692
"LAYING" 15 "tGravityAcc-mean()-X" 0.736471568587678
"LAYING" 16 "tGravityAcc-mean()-X" 0.700906130308743
"LAYING" 17 "tGravityAcc-mean()-X" 0.69893741138587
"LAYING" 19 "tGravityAcc-mean()-X" 0.475323016
"LAYING" 21 "tGravityAcc-mean()-X" 0.821155349764706
"SITTING" 4 "tGravityAcc-mean()-X" 0.764436780229885
"SITTING" 7 "tGravityAcc-mean()-X" 0.642454313855422
"SITTING" 8 "tGravityAcc-mean()-X" 0.647498175409253
"SITTING" 9 "tGravityAcc-mean()-X" 0.670845545555556
"SITTING" 10 "tGravityAcc-mean()-X" 0.528471918189655
"SITTING" 11 "tGravityAcc-mean()-X" 0.730526184936709
"SITTING" 14 "tGravityAcc-mean()-X" 0.672081224882353
"SITTING" 15 "tGravityAcc-mean()-X" 0.603031476957265
"STANDING" 1 "tGravityAcc-mean()-X" 0.744867411573487
"STANDING" 2 "tGravityAcc-mean()-X" 0.660782866688742
"STANDING" 3 "tGravityAcc-mean()-X" 0.707814353343108
"STANDING" 4 "tGravityAcc-mean()-X" 0.684713020826087
"STANDING" 5 "tGravityAcc-mean()-X" 0.698153719072848
"STANDING" 6 "tGravityAcc-mean()-X" 0.688702063569231
"STANDING" 7 "tGravityAcc-mean()-X" 0.845185170677966
"WALKING" 13 "tGravityAcc-mean()-X" 0.681292470135417
"WALKING" 18 "tGravityAcc-mean()-X" 0.756037328221154
"WALKING" 21 "tGravityAcc-mean()-X" 0.587316160490196
"WALKING" 22 "tGravityAcc-mean()-X" 0.609390874922118
"WALKING" 23 "tGravityAcc-mean()-X" 0.662324737580645
"WALKING" 25 "tGravityAcc-mean()-X" 0.681636476696035
"WALKING_DOWNSTAIRS" 18 "tGravityAcc-mean()-X" 0.664631141858974
"WALKING_DOWNSTAIRS" 20 "tGravityAcc-mean()-X" 0.640035175458333
"WALKING_DOWNSTAIRS" 25 "tGravityAcc-mean()-X" 0.660849715604396
"WALKING_DOWNSTAIRS" 26 "tGravityAcc-mean()-X" 0.615123534668367
"WALKING_DOWNSTAIRS" 27 "tGravityAcc-mean()-X" 0.627230079867021
"WALKING_DOWNSTAIRS" 28 "tGravityAcc-mean()-X" 0.952080407777778
"WALKING_UPSTAIRS" 20 "tGravityAcc-mean()-X" 0.592856658222222
"WALKING_UPSTAIRS" 24 "tGravityAcc-mean()-X" 0.69498126808399
"WALKING_UPSTAIRS" 28 "tGravityAcc-mean()-X" 0.589608211734104
"WALKING_UPSTAIRS" 29 "tGravityAcc-mean()-X" 0.683067625610465
"WALKING_UPSTAIRS" 30 "tGravityAcc-mean()-X" 0.696858200678851
"LAYING" 10 "tGravityAcc-mean()-Y" -0.208521017696629
"LAYING" 12 "tGravityAcc-mean()-Y" 0.029976775735
"LAYING" 13 "tGravityAcc-mean()-Y" -0.109627963589744
"LAYING" 15 "tGravityAcc-mean()-Y" 0.0435380526492891
"LAYING" 16 "tGravityAcc-mean()-Y" -0.0605235993797814
"LAYING" 17 "tGravityAcc-mean()-Y" -0.013734698125
"LAYING" 19 "tGravityAcc-mean()-Y" 0.0964052626666667
"LAYING" 21 "tGravityAcc-mean()-Y" -0.106380307637255
"SITTING" 4 "tGravityAcc-mean()-Y" 0.044337788916092
"SITTING" 7 "tGravityAcc-mean()-Y" -0.0456977800429719
"SITTING" 8 "tGravityAcc-mean()-Y" 0.0303211113118861
"SITTING" 9 "tGravityAcc-mean()-Y" -0.0467446999509028
"SITTING" 10 "tGravityAcc-mean()-Y" 0.132357189137931
"SITTING" 11 "tGravityAcc-mean()-Y" 0.0527387028613924
"SITTING" 14 "tGravityAcc-mean()-Y" -0.111701388781115
"SITTING" 15 "tGravityAcc-mean()-Y" 0.209283010478632
"STANDING" 1 "tGravityAcc-mean()-Y" -0.0825562579855908
"STANDING" 2 "tGravityAcc-mean()-Y" -0.147219886910411
"STANDING" 3 "tGravityAcc-mean()-Y" -0.0260590480328739
"STANDING" 4 "tGravityAcc-mean()-Y" 0.138408788421064
"STANDING" 5 "tGravityAcc-mean()-Y" 0.112313109736755
"STANDING" 6 "tGravityAcc-mean()-Y" 0.0162055455953846
"STANDING" 7 "tGravityAcc-mean()-Y" -0.0265097204440678
"WALKING" 13 "tGravityAcc-mean()-Y" -0.0329394768333333
"WALKING" 18 "tGravityAcc-mean()-Y" 0.00878710293269231
"WALKING" 21 "tGravityAcc-mean()-Y" -0.0646683069803922
"WALKING" 22 "tGravityAcc-mean()-Y" 0.0315098683115265
"WALKING" 23 "tGravityAcc-mean()-Y" 0.0146209197354839
"WALKING" 25 "tGravityAcc-mean()-Y" 0.0454074757092511
"WALKING_DOWNSTAIRS" 18 "tGravityAcc-mean()-Y" -0.0485407951602564
"WALKING_DOWNSTAIRS" 20 "tGravityAcc-mean()-Y" -0.0118533098295455
"WALKING_DOWNSTAIRS" 25 "tGravityAcc-mean()-Y" 0.0493461615384615
"WALKING_DOWNSTAIRS" 26 "tGravityAcc-mean()-Y" 0.10870478277551
"WALKING_DOWNSTAIRS" 27 "tGravityAcc-mean()-Y" 0.032242387143617
"WALKING_DOWNSTAIRS" 28 "tGravityAcc-mean()-Y" -0.242391857222222
"WALKING_UPSTAIRS" 20 "tGravityAcc-mean()-Y" -0.111967018333333
"WALKING_UPSTAIRS" 24 "tGravityAcc-mean()-Y" 0.0729509702152231
"WALKING_UPSTAIRS" 28 "tGravityAcc-mean()-Y" -0.137712704138728
"WALKING_UPSTAIRS" 29 "tGravityAcc-mean()-Y" 0.115489757911628
"WALKING_UPSTAIRS" 30 "tGravityAcc-mean()-Y" 0.0512698188974987
"LAYING" 10 "tGravityAcc-mean()-Z" 0.117694723004365
"LAYING" 12 "tGravityAcc-mean()-Z" 0.0330295544910625
"LAYING" 13 "tGravityAcc-mean()-Z" -0.0550385769230769
"LAYING" 15 "tGravityAcc-mean()-Z" -0.035049230219763
"LAYING" 16 "tGravityAcc-mean()-Z" 0.0402075536234973
"LAYING" 17 "tGravityAcc-mean()-Z" -0.0177042428953804
"LAYING" 19 "tGravityAcc-mean()-Z" 0.233011401195083
"LAYING" 21 "tGravityAcc-mean()-Z" -0.0918587064509804
"SITTING" 4 "tGravityAcc-mean()-Z" 0.125457421218391
"SITTING" 7 "tGravityAcc-mean()-Z" 0.0394602698100442
"SITTING" 8 "tGravityAcc-mean()-Z" 0.0836542406807936
"SITTING" 9 "tGravityAcc-mean()-Z" 0.104353653032743
"SITTING" 10 "tGravityAcc-mean()-Z" -0.0406851051310345
"SITTING" 11 "tGravityAcc-mean()-Z" 0.140209861246835
"SITTING" 14 "tGravityAcc-mean()-Z" -0.161179728291022
"SITTING" 15 "tGravityAcc-mean()-Z" 0.167747283709402
"STANDING" 1 "tGravityAcc-mean()-Z" 0.072339870389049
"STANDING" 2 "tGravityAcc-mean()-Z" 0.134865335090728
"STANDING" 3 "tGravityAcc-mean()-Z" 0.0480937904190616
"STANDING" 4 "tGravityAcc-mean()-Z" 0.178759559052174
"STANDING" 5 "tGravityAcc-mean()-Z" 0.0921607197449904
"STANDING" 6 "tGravityAcc-mean()-Z" 0.0475199990906462
"STANDING" 7 "tGravityAcc-mean()-Z" 0.0120837753338983
"WALKING" 13 "tGravityAcc-mean()-Z" 0.0577532953226042
"WALKING" 18 "tGravityAcc-mean()-Z" 0.123233612144231
"WALKING" 21 "tGravityAcc-mean()-Z" 0.0735331387320261
"WALKING" 22 "tGravityAcc-mean()-Z" 0.23588786398215
"WALKING" 23 "tGravityAcc-mean()-Z" 0.0518662466372043
"WALKING" 25 "tGravityAcc-mean()-Z" 0.311927835669604
"WALKING_DOWNSTAIRS" 18 "tGravityAcc-mean()-Z" 0.0456655913461538
"WALKING_DOWNSTAIRS" 20 "tGravityAcc-mean()-Z" 0.114564479136629
"WALKING_DOWNSTAIRS" 25 "tGravityAcc-mean()-Z" 0.148548527711703
"WALKING_DOWNSTAIRS" 26 "tGravityAcc-mean()-Z" 0.234107010472449
"WALKING_DOWNSTAIRS" 27 "tGravityAcc-mean()-Z" 0.14116869604876
"WALKING_DOWNSTAIRS" 28 "tGravityAcc-mean()-Z" -0.000502583416666667
"WALKING_UPSTAIRS" 20 "tGravityAcc-mean()-Z" 0.0857185151513333
"WALKING_UPSTAIRS" 24 "tGravityAcc-mean()-Z" 0.0623227714146982
"WALKING_UPSTAIRS" 28 "tGravityAcc-mean()-Z" -0.0518302658991329
"WALKING_UPSTAIRS" 29 "tGravityAcc-mean()-Z" 0.208215370043721
"WALKING_UPSTAIRS" 30 "tGravityAcc-mean()-Z" 0.184343178348037
"LAYING" 10 "tGravityAcc-std()-X" -0.965245184269663
"LAYING" 12 "tGravityAcc-std()-X" -0.96738343446875
"LAYING" 13 "tGravityAcc-std()-X" -0.983806016410256
"LAYING" 15 "tGravityAcc-std()-X" -0.96533910478673
"LAYING" 16 "tGravityAcc-std()-X" -0.971156432131148
"LAYING" 17 "tGravityAcc-std()-X" -0.971771652907609
"LAYING" 19 "tGravityAcc-std()-X" -0.958290447861111
"LAYING" 21 "tGravityAcc-std()-X" -0.985076891862745
"SITTING" 4 "tGravityAcc-std()-X" -0.956953066206897
"SITTING" 7 "tGravityAcc-std()-X" -0.957858092349398
"SITTING" 8 "tGravityAcc-std()-X" -0.954256666035587
"SITTING" 9 "tGravityAcc-std()-X" -0.958784666180556
"SITTING" 10 "tGravityAcc-std()-X" -0.966671951465517
"SITTING" 11 "tGravityAcc-std()-X" -0.975394457689873
"SITTING" 14 "tGravityAcc-std()-X" -0.941245714736842
"SITTING" 15 "tGravityAcc-std()-X" -0.974854731965812
"STANDING" 1 "tGravityAcc-std()-X" -0.959859435936599
"STANDING" 2 "tGravityAcc-std()-X" -0.963015508245033
"STANDING" 3 "tGravityAcc-std()-X" -0.966457565630499
"STANDING" 4 "tGravityAcc-std()-X" -0.964786981173913
"STANDING" 5 "tGravityAcc-std()-X" -0.964629108807947
"STANDING" 6 "tGravityAcc-std()-X" -0.958898709015385
"STANDING" 7 "tGravityAcc-std()-X" -0.950967695084746
"WALKING" 13 "tGravityAcc-std()-X" -0.965028548993056
"WALKING" 18 "tGravityAcc-std()-X" -0.984742098269231
"WALKING" 21 "tGravityAcc-std()-X" -0.959089881993464
"WALKING" 22 "tGravityAcc-std()-X" -0.95850446411215
"WALKING" 23 "tGravityAcc-std()-X" -0.964393040295699
